"","Saprobity_xenosaprobic","Saprobity_oligosaprobic","Saprobity_beta.mesosaprobic","Saprobity_alpha.mesosaprobic","Saprobity_polysaprobic","Substrate_flags_boulders_cobbles_pebbles","Substrate_gravel","Substrate_sand","Substrate_silt","Substrate_macrophytes","Substrate_microphytes","Substrate_twigs_roots","Substrate_organic_detritus_litter","Substrate_mud","Dispersal_aquatic_passive","Dispersal_aquatic_active","Dispersal_aerial_passive","Dispersal_aerial_active","Loco_flier","Loco_surface_swimmer","Loco_full_water_swimmer","Loco_crawler","Loco_burrower","Loco_interstitial","Loco_temporarily_attached","Loco_permanently_attached","Reproduction_ovoviviparity","Reproduction_eggs.free","Reproduction_eggs.cemented","Reproduction_clutches.fixed","Reproduction_clutches.free","Reproduction_clutches.vegetation","Reproduction_clutches.terrestrial","Reproduction_asexual"
"Baetis",1,2,3,1,0,4,2,1,0,5,0,3,1,0,3,2,1,3,0,0,3,4,0,1,0,0,0,0,1,3,0,0,0,0
"Bathyomphalus",0,2,3,1,0,3,1,0,0,5,1,0,0,3,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Beraea",3,2,0,0,0,3,0,1,0,2,0,2,4,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
"Beraeodes",0,3,1,1,0,0,0,2,0,3,0,4,3,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0
"Berosus",0,0,1,3,0,0,0,0,0,3,3,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0
"Besdolus",1,1,0,0,0,2,1,2,0,1,1,1,1,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Bidessus",0,1,3,2,0,1,2,2,0,1,0,0,2,2,1,1,0,3,1,0,3,3,0,1,0,0,0,0,0,3,0,0,0,0
"Bithynia",0,0,3,2,0,4,1,1,2,5,3,0,0,3,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0
"Boyeria",0,3,0,0,0,3,0,1,0,4,2,2,3,1,2,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0
"Brachycentrus",1,2,3,1,0,4,2,0,1,4,0,3,0,0,0,1,1,2,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0
"Brachycercus",0,1,3,2,0,0,0,3,2,1,0,0,0,3,1,1,1,1,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,0
"Brachyptera",1,3,3,0,0,4,0,0,1,0,0,2,2,0,2,2,0,1,0,0,0,5,1,1,0,0,0,0,3,0,0,0,0,0
"Branchiobdella",1,2,3,2,0,1,0,3,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0
"Branchiura",0,0,3,2,0,0,1,2,3,0,0,1,1,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,1
"Brychius",0,2,3,0,0,1,2,1,1,4,0,1,1,0,2,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Bythinella",3,1,0,0,0,4,0,0,0,4,0,0,0,2,3,1,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0
"Bythiospeum",3,1,0,0,0,0,0,2,3,0,0,0,0,0,3,1,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0
"Caenis",0,1,3,1,0,2,2,3,3,4,0,2,3,5,2,1,1,1,0,0,0,5,1,1,0,0,0,1,2,0,0,0,0,0
"Callicorixa",0,0,1,3,0,0,0,0,0,3,0,0,2,0,1,2,0,2,1,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0
"Calopteryx",0,1,3,2,0,2,3,1,1,4,0,4,4,1,2,1,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0
"Capnia",1,3,2,0,0,3,1,0,0,0,0,0,1,0,1,2,0,1,0,0,0,5,1,1,0,0,3,1,0,0,0,0,0,0
"Cataclysta",0,0,1,1,0,0,0,0,0,4,0,0,0,1,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0
"Catagapetus",0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,0,0,2,0,0,0,0,3,0,0,0,0
"Centroptilum",0,1,3,1,0,1,2,1,0,5,0,1,2,0,2,2,1,2,0,0,3,1,1,0,0,0,0,0,3,0,0,0,0,0
"Ceraclea",0,1,3,2,0,4,2,2,1,1,0,3,1,1,2,1,1,3,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0
"Ceratopogoninae",0,2,2,2,1,2,3,4,1,3,3,3,1,4,3,1,0,2,0,1,3,1,3,0,0,0,0,0,1,3,0,0,0,0
"Ceriagrion",0,1,3,1,0,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0
"Chaetogaster",0,2,3,1,0,2,2,2,0,5,1,0,0,2,2,1,0,0,0,0,3,0,0,1,1,0,0,2,1,0,0,0,0,3
"Chaoborus",0,1,3,2,0,0,1,1,1,1,0,0,0,4,1,2,0,0,0,1,5,1,0,0,0,0,0,1,0,0,3,0,0,0
"Cheumatopsyche",0,0,2,1,0,4,3,0,0,1,0,0,0,0,3,1,1,3,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0
"Chimarra",0,3,0,0,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0
"Chironomini",0,1,3,3,3,4,2,3,2,5,0,3,1,4,2,1,3,1,0,0,1,3,2,1,2,0,1,0,0,1,3,0,0,0
"Chloroperla",1,3,2,0,0,2,3,0,1,2,0,1,3,0,3,2,0,1,0,0,0,4,0,2,0,0,0,0,2,2,0,0,0,0
"Choroterpes",0,0,2,1,0,2,0,2,2,2,0,2,1,0,1,1,1,1,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
"Chrysopilus",0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"Clinocerinae",1,1,3,1,0,4,3,1,0,3,0,1,1,0,1,1,0,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,3,0
"Cloeon",0,0,3,2,0,1,0,1,1,5,0,0,2,1,1,2,1,2,0,0,3,1,0,0,0,0,3,1,1,0,0,0,0,0
"Coenagrion",0,1,2,2,0,0,0,0,1,4,0,2,2,0,2,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0
"Colymbetes",0,0,2,3,0,0,0,0,0,3,0,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Corbicula",0,0,0,1,2,1,2,5,2,0,0,0,0,3,3,1,0,0,0,0,1,1,4,0,0,0,3,1,0,0,0,0,0,0
"Cordulegaster",1,3,3,0,0,1,3,3,2,0,0,0,2,3,2,0,0,3,0,0,0,1,4,0,0,0,0,3,0,0,0,0,1,0
"Corixa",0,1,2,3,0,0,0,0,0,3,0,0,2,0,0,3,1,3,1,0,5,0,0,0,0,0,0,0,1,2,0,1,0,0
"Corophium",0,1,3,1,0,3,0,0,3,3,0,3,1,0,2,2,0,0,0,0,1,3,1,0,0,0,3,0,0,0,0,0,0,0
"Crangonyx",0,0,0,0,0,0,0,0,1,3,0,0,3,0,1,0,0,0,0,0,2,3,0,1,0,0,3,0,0,0,0,0,0,0
"Crenobia",1,3,0,0,0,4,0,0,0,0,0,2,2,0,1,2,0,0,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,1
"Crunoecia",3,1,0,0,0,4,0,2,0,3,0,3,4,0,1,1,1,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Cymatia",0,0,3,1,0,0,0,2,0,3,2,0,0,2,0,3,0,1,0,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0
"Cyphon",0,0,0,0,0,0,0,0,0,3,1,0,3,3,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"Cyrnus",0,2,3,2,0,4,0,0,0,5,2,1,3,0,2,1,1,1,0,0,1,1,0,0,3,0,0,0,0,3,0,0,0,0
"Dendrocoelum",0,0,2,1,0,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Dero",0,0,2,3,0,0,0,0,2,3,0,0,0,3,1,1,0,0,0,0,2,0,0,1,1,0,0,2,1,0,0,0,0,3
"Diamesinae",2,3,3,1,0,5,3,2,1,4,2,0,2,1,2,1,1,1,0,0,1,3,1,2,1,0,0,0,0,2,1,0,2,0
"Dina",0,0,3,3,0,1,0,0,0,3,0,0,2,2,1,1,0,0,0,0,0,4,1,0,1,0,0,0,0,3,0,0,0,0
"Dinocras",1,3,0,0,0,4,1,1,0,2,0,0,0,1,1,2,0,1,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
"Diplectrona",1,1,0,0,0,5,0,0,0,0,0,0,0,0,3,1,1,3,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0
"Diura",3,3,0,0,0,2,3,3,0,1,0,0,0,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,1,3,0,0,0
"Dixa",0,3,0,0,0,4,0,0,0,3,0,1,3,0,3,1,1,0,0,3,1,1,0,0,1,0,0,0,0,3,1,0,1,0
"Dixella",0,0,1,1,0,3,0,0,0,2,0,2,3,0,3,1,1,0,0,3,2,1,0,0,1,0,0,0,0,3,1,0,1,0
"Dolichopodidae",0,1,3,1,0,2,1,3,1,3,0,2,2,4,0,0,1,1,0,0,0,5,0,0,0,0,0,2,0,0,0,1,2,0
"Donacia",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0
"Dreissena",0,1,3,1,0,5,0,0,0,0,0,2,0,0,3,1,0,0,0,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0
"Drusus",2,3,1,0,0,4,1,0,0,2,0,0,2,1,3,2,0,2,0,0,0,5,0,0,0,0,0,0,0,3,0,0,1,0
"Dryops",0,0,3,0,0,1,1,0,0,1,1,3,3,2,0,1,0,3,2,0,0,3,3,0,0,0,0,0,0,0,0,1,3,0
"Dugesia",1,2,3,1,0,4,0,0,0,2,0,0,2,1,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,2,0,0,0,2
"Dupophilus",0,0,0,0,0,3,3,1,0,2,0,0,0,0,2,1,0,2,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
"Dytiscus",0,1,2,3,0,0,0,0,0,3,0,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0
"Ecclisopteryx",2,3,2,0,0,3,2,0,0,0,2,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,0,0,0,3,0,0,1,0
"Ecdyonurus",1,3,3,1,0,4,1,1,1,0,0,1,0,0,3,1,1,3,0,0,1,5,0,0,0,0,0,2,0,3,0,0,0,0
"Echinogammarus",0,2,2,0,0,5,3,1,1,5,2,4,4,0,3,1,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0
"Ecnomus",0,0,2,3,1,4,1,1,0,4,0,3,0,0,1,1,1,1,0,0,0,3,2,0,2,1,0,0,2,0,0,0,0,0
"Eiseniella",0,1,3,1,0,3,3,1,1,4,0,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0
"Electrogena",1,3,2,1,0,4,0,0,0,0,0,1,1,1,3,1,1,3,0,0,1,5,0,0,0,0,0,1,2,0,0,0,0,0
"Elmis",1,3,2,0,0,3,3,1,0,3,0,0,0,0,2,1,0,2,1,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0
"Elodes",0,0,0,0,0,2,3,0,0,2,1,0,1,0,1,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"Elophila",0,1,3,1,0,0,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Enallagma",0,1,3,1,0,0,0,0,1,4,0,2,3,0,1,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0
"Enchytraeidae",1,3,3,2,1,1,2,2,1,2,0,0,3,3,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0
"Enochrus",0,0,2,3,0,0,0,0,0,3,3,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Epeorus",2,3,1,0,0,5,0,0,0,0,0,0,0,0,2,1,1,3,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
"Ephemera",1,1,3,1,0,0,4,5,1,1,0,1,1,3,1,1,1,3,0,0,0,1,4,0,0,0,0,0,3,1,0,0,0,0
"Ephemerella",1,2,3,1,0,3,2,1,1,5,0,4,2,1,2,3,1,3,0,0,1,5,0,0,0,0,0,1,3,0,0,1,0,0
"Ephoron",0,0,2,1,0,1,3,4,1,0,0,0,0,0,1,3,1,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0
"Ephydridae",0,0,3,2,0,3,1,1,0,4,0,1,1,2,0,0,0,1,0,0,0,2,3,0,0,0,0,0,1,1,0,2,2,0
"Epitheca",0,0,3,1,0,0,0,0,0,3,1,0,0,2,0,1,0,3,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0
"Erpobdella",0,0,2,3,1,4,2,2,1,3,0,1,2,2,1,1,1,0,0,0,1,3,1,0,1,0,0,0,0,3,0,0,0,0
"Erythromma",0,1,3,1,0,0,0,0,0,4,0,2,3,0,0,1,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,3,0,0
"Esolus",1,3,3,0,0,1,3,3,1,2,0,0,0,0,2,1,0,2,1,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0
"Eubria",0,0,0,0,0,3,3,1,0,0,1,0,0,0,2,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Euleuctra",0,1,3,1,0,2,4,1,0,2,0,4,2,1,3,2,0,1,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0
"Ferrissia",0,1,2,2,0,1,1,0,0,4,0,2,3,3,2,1,1,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0
"Fredericella",0,2,3,0,0,4,0,1,0,2,0,4,0,2,3,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,3
"Galba",1,1,2,1,1,3,1,0,0,4,1,2,0,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Gammarus",1,2,3,2,0,5,3,2,1,3,2,4,4,0,3,2,0,0,0,0,2,3,0,1,0,0,3,0,0,0,0,0,0,0
"Gerris",0,1,2,2,0,0,0,0,0,5,0,0,0,0,1,2,0,3,3,4,0,0,0,0,0,0,0,0,1,2,0,0,3,0
"Glossiphonia",0,1,3,2,0,4,3,0,0,3,0,0,1,0,1,1,0,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,0
"Glossosoma",1,2,1,0,0,5,0,1,0,0,3,0,0,0,1,2,1,1,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0
"Goera",0,1,3,2,0,4,2,2,0,2,0,0,0,0,1,1,1,2,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0
"Gomphus",0,1,3,2,0,2,0,2,4,0,0,0,0,2,2,0,0,3,0,0,0,1,4,0,0,0,0,1,3,0,0,0,0,0
"Graptodytes",0,1,2,1,0,0,0,0,0,3,0,0,3,3,1,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Gyraulus",0,2,2,1,0,3,1,0,1,5,1,0,3,4,2,2,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Gyrinus",0,1,3,1,0,0,0,0,0,4,0,0,1,1,0,2,0,3,1,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Habroleptoides",1,3,2,0,0,3,2,1,0,0,0,2,1,1,2,1,1,1,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0
"Habrophlebia",0,2,2,1,0,0,0,1,1,2,0,2,3,1,1,1,1,1,0,0,1,3,0,0,0,0,0,1,3,0,0,0,0,0
"Haemopis",0,0,2,2,0,4,0,0,0,2,0,0,0,0,1,1,1,0,0,0,1,4,1,0,1,0,0,0,0,3,0,0,2,0
"Halesus",1,3,3,0,0,4,1,1,1,1,1,0,4,1,1,2,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Haliplus",0,1,3,1,0,1,1,1,3,3,0,0,0,2,1,1,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0
"Helobdella",0,0,1,2,0,2,0,0,0,5,0,0,3,0,1,1,0,0,0,0,0,4,1,0,1,0,2,0,0,0,1,0,0,0
"Helophorus",0,1,3,3,0,0,0,0,0,1,3,0,3,3,1,1,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0
"Hemerodromiinae",1,1,3,1,0,3,1,1,1,4,0,3,1,2,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0
"Hemiclepsis",0,0,3,1,0,2,0,0,0,3,0,0,2,0,3,1,0,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,0
"Heptagenia",0,1,3,1,0,5,2,1,0,1,0,1,1,0,3,1,1,3,0,0,1,5,0,0,0,0,0,1,2,0,0,0,0,0
"Hesperocorixa",0,0,1,3,0,0,0,0,0,3,0,0,3,2,0,2,0,2,1,0,5,0,0,0,0,0,0,0,1,3,0,1,0,0
"Hippeutis",0,2,2,1,0,2,1,0,0,4,1,0,0,3,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Holocentropus",0,0,3,3,0,3,1,1,0,3,0,1,2,1,1,1,1,2,0,0,1,1,0,0,3,0,0,0,0,3,0,0,0,0
"Hydra",0,3,0,0,0,3,0,0,0,5,0,3,0,0,3,1,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,3
"Hydraena",0,1,3,2,0,3,1,1,0,2,1,0,0,0,2,1,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0
"Hydrobius",0,0,1,2,0,0,0,0,0,3,3,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Hydrochus",0,0,2,3,1,0,0,0,0,2,3,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0
"Hydrocyphon",0,0,0,0,0,2,3,1,0,3,1,0,0,0,2,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"Hydroglyphus",0,1,3,3,1,0,0,0,0,3,0,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Hydrometra",0,0,2,3,0,3,0,0,0,4,1,1,0,0,1,3,0,1,1,4,0,2,0,0,0,0,0,0,1,0,0,3,0,0
"Hydrophilus",0,0,1,3,0,0,0,0,0,3,3,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0
"Hydroporus",1,3,2,1,0,0,1,1,1,3,0,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Hydropsyche",1,2,3,2,0,5,2,1,0,3,0,4,0,0,3,2,1,3,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0
"Hydroptila",0,1,3,2,0,2,2,1,0,5,2,1,1,1,1,1,2,1,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0
"Hydroscapha",0,0,0,0,0,0,3,3,0,0,1,0,0,0,2,1,0,1,1,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0
"Hygrotus",0,1,2,2,0,0,0,0,0,3,0,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Ilybius",0,1,3,3,1,0,0,0,0,3,0,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0
"Ilyocoris",0,1,2,2,0,0,0,0,0,4,0,0,0,1,0,3,0,3,0,2,3,3,0,0,0,0,0,0,0,0,0,3,0,0
"Ischnura",0,1,3,1,0,2,0,0,0,5,0,2,2,1,1,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0
"Isoperla",2,3,1,0,0,3,2,2,0,3,0,1,2,0,2,2,0,2,0,0,0,4,0,1,0,0,0,0,1,2,0,0,0,0
"Ithytrichia",1,3,1,0,0,4,1,1,0,5,0,1,0,0,1,1,2,1,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0
"Laccobius",0,1,3,3,1,0,0,0,1,3,3,0,3,3,1,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Laccophilus",0,1,3,3,0,0,0,0,1,4,0,0,1,2,1,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Lasiocephala",0,1,2,0,0,1,1,3,0,0,0,2,1,0,1,1,1,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Lepidostoma",0,1,2,0,0,2,1,1,0,3,0,2,0,0,1,1,1,2,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Leptocerus",0,1,3,3,0,2,0,0,0,5,1,2,1,0,1,1,1,2,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0
"Leptophlebia",0,1,3,1,0,2,1,1,0,3,0,2,3,0,2,1,1,3,0,0,2,4,0,1,0,0,0,1,3,0,0,0,0,0
"Lestes",0,0,3,0,0,0,0,0,0,4,0,0,1,0,0,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,3,3,0
"Leucorrhinia",0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0
"Leuctra",2,3,2,0,0,4,3,2,2,4,0,4,2,0,2,2,0,1,0,0,0,5,2,1,0,0,0,0,3,0,0,0,0,0
"Libellula",0,0,3,2,0,0,0,2,3,2,0,0,3,2,0,1,0,3,0,0,2,4,1,0,0,0,0,2,3,0,0,0,0,0
"Limnebius",0,3,1,0,0,2,2,1,0,2,2,0,0,0,2,1,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0
"Limnius",0,3,3,0,0,2,3,3,1,3,0,0,0,0,2,1,0,2,1,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0
