"study","station.x","operatn","year","X_WGS84","Y_WGS84","Tax_Div","Tax_Even","Tax_Rich","Abundance","i_ab","prop_i","logab","logabI","Strahler","Catchment6_size","Ships","Locks","Ports","local","Channelization","Agriculture_new","Urban_new","fric_new","feve_new","fdiv_new","Rip_Deg","ports_5k","locks_5k"
"Rhine_HLN","Rhine_HLN_12465","Rhine_HLN_12465_2012",2012,8.263266908,50.01893713,1.382060265,0.125641842,11,1834,1594,0.869138495,7.514254653,7.374001859,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,-0.397051921,-1.608059035,-2.277732354,1.607220465,0.371614041,0.402471,0.837690012,0.397051921,3.404549781,-0.494037768
"Rhine_HLN","Rhine_HLN_12465","Rhine_HLN_12465_2015",2015,8.263266908,50.01893713,2.267949005,0.283493626,8,780,532,0.682051282,6.65929392,6.276643489,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,-0.397051921,-1.608059035,-2.277732354,1.607220465,0.389109166,0.434296,0.769142714,0.397051921,3.404549781,-0.494037768
"Rhine_HLN","Rhine_HLN_12465","Rhine_HLN_12465_2018",2018,8.263266908,50.01893713,3.502726784,0.25019477,14,302,28,0.092715232,5.710427017,3.33220451,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,-0.397051921,-1.608059035,-2.277732354,1.607220465,0.456274348,0.465508,0.985330985,0.397051921,3.404549781,-0.494037768
"Rhine_HLN","Rhine_HLN_12465","Rhine_HLN_12465_2021",2021,8.263266908,50.01893713,1.619341472,0.134945123,12,1346,1093,0.812035661,7.20489251,6.996681488,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,-0.397051921,-1.608059035,-2.277732354,1.607220465,0.18879121,0.347572,0.97519235,0.397051921,3.404549781,-0.494037768
"Rhine_HLN","Rhine_HLN_12466","Rhine_HLN_12466_2009",2009,8.062475665,50.00790663,5.484043184,0.421849476,13,215,110,0.511627907,5.370638028,4.700480366,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,0.308177386,-1.608059035,0.565271957,0.290179805,0.544238103,0.476952,0.698458127,-0.308177386,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12466","Rhine_HLN_12466_2012",2012,8.062475665,50.00790663,1.882352941,0.31372549,6,160,129,0.80625,5.075173815,4.859812404,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,0.308177386,-1.608059035,0.565271957,0.290179805,0.103116108,0.466247,0.965084141,-0.308177386,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12466","Rhine_HLN_12466_2015",2015,8.062475665,50.00790663,2.22534564,0.18544547,12,1556,573,0.368251928,7.349873705,6.350885717,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,0.308177386,-1.608059035,0.565271957,0.290179805,0.38946055,0.566753,0.912463845,-0.308177386,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12466","Rhine_HLN_12466_2018",2018,8.062475665,50.00790663,1.819851417,0.129989387,14,403,328,0.813895782,5.998936562,5.793013608,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,0.308177386,-1.608059035,0.565271957,0.290179805,0.381410813,0.516187,0.955214133,-0.308177386,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12466","Rhine_HLN_12466_2021",2021,8.062475665,50.00790663,1.361513161,0.136151316,10,758,684,0.90237467,6.630683386,6.527957918,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,0.308177386,-1.608059035,0.565271957,0.290179805,0.403333628,0.418683,0.976112846,-0.308177386,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12467","Rhine_HLN_12467_2009",2009,8.342972034,49.93862975,4.779086538,0.341363324,14,282,174,0.617021277,5.641907071,5.159055299,"7",-1.683519896,-0.491201214,-0.502062933,-0.851282696,-0.595736642,-0.094863416,-0.166761671,-0.320598469,0.691769212,0.363777,0.745600924,0.595736642,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12467","Rhine_HLN_12467_2012",2012,8.342972034,49.93862975,1.473906173,0.122825514,12,758,661,0.872031662,6.630683386,6.49375384,"7",-1.683519896,-0.491201214,-0.502062933,-0.851282696,-0.595736642,-0.094863416,-0.166761671,-0.320598469,0.371614041,0.285864,0.97168285,0.595736642,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12467","Rhine_HLN_12467_2015",2015,8.342972034,49.93862975,3.766281436,0.269020103,14,1255,569,0.453386454,7.134890852,6.343880434,"7",-1.683519896,-0.491201214,-0.502062933,-0.851282696,-0.595736642,-0.094863416,-0.166761671,-0.320598469,0.247049319,0.387045,0.955704263,0.595736642,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12467","Rhine_HLN_12467_2018",2018,8.342972034,49.93862975,4.529196473,0.566149559,8,165,26,0.157575758,5.105945474,3.258096538,"7",-1.683519896,-0.491201214,-0.502062933,-0.851282696,-0.595736642,-0.094863416,-0.166761671,-0.320598469,0.268446141,0.390548,0.872110452,0.595736642,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12467","Rhine_HLN_12467_2021",2021,8.342972034,49.93862975,3.04108434,0.50684739,6,345,140,0.405797101,5.843544417,4.941642423,"7",-1.683519896,-0.491201214,-0.502062933,-0.851282696,-0.595736642,-0.094863416,-0.166761671,-0.320598469,0.145061636,0.323504,0.86088601,0.595736642,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12468","Rhine_HLN_12468_2009",2009,8.133133956,50.02550124,1.291285299,0.322821325,4,244,244,1,5.497168225,5.497168225,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,-0.50155196,-1.608059035,0.440405817,0.274473655,NA,NA,NA,0.50155196,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12468","Rhine_HLN_12468_2012",2012,8.133133956,50.02550124,5.702576049,0.475214671,12,647,236,0.364760433,6.472346295,5.463831805,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,-0.50155196,-1.608059035,0.440405817,0.274473655,0.345798086,0.322668,0.992659533,0.50155196,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12468","Rhine_HLN_12468_2015",2015,8.133133956,50.02550124,1.806759979,0.451689995,4,979,722,0.737487232,6.886531643,6.582025139,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,-0.50155196,-1.608059035,0.440405817,0.274473655,NA,NA,NA,0.50155196,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12468","Rhine_HLN_12468_2018",2018,8.133133956,50.02550124,5.438265099,0.418328085,13,259,79,0.305019305,5.556828062,4.369447852,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,-0.50155196,-1.608059035,0.440405817,0.274473655,0.391269292,0.482875,0.689799985,0.50155196,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12468","Rhine_HLN_12468_2021",2021,8.133133956,50.02550124,2.139296307,0.164561254,13,1245,826,0.663453815,7.126890809,6.716594774,"7",-0.770579137,-0.007770683,-0.502062933,1.655752364,-0.50155196,-1.608059035,0.440405817,0.274473655,0.376011423,0.363326,0.691727805,0.50155196,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12469","Rhine_HLN_12469_2009",2009,8.021367233,49.99821039,1.936886796,0.148991292,13,466,403,0.864806867,6.144185634,5.998936562,"7",-0.770579137,-0.764940799,-0.502062933,-0.851282696,-0.61008908,-1.608059035,0.630362179,0.555306954,0.373774167,0.575425,0.764359342,0.61008908,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12469","Rhine_HLN_12469_2012",2012,8.021367233,49.99821039,1.572886207,0.157288621,10,318,271,0.852201258,5.762051383,5.602118821,"7",-0.770579137,-0.764940799,-0.502062933,-0.851282696,-0.61008908,-1.608059035,0.630362179,0.555306954,0.343986041,0.627158,0.989773779,0.61008908,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12469","Rhine_HLN_12469_2015",2015,8.021367233,49.99821039,4.241807246,0.326292865,13,517,271,0.52417795,6.248042875,5.602118821,"7",-0.770579137,-0.764940799,-0.502062933,-0.851282696,-0.61008908,-1.608059035,0.630362179,0.555306954,0.210625292,0.440425,0.812080757,0.61008908,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12469","Rhine_HLN_12469_2018",2018,8.021367233,49.99821039,3.834355828,0.319529652,12,100,16,0.16,4.605170186,2.772588722,"7",-0.770579137,-0.764940799,-0.502062933,-0.851282696,-0.61008908,-1.608059035,0.630362179,0.555306954,0.391269292,0.5865,0.930165532,0.61008908,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12469","Rhine_HLN_12469_2021",2021,8.021367233,49.99821039,1.806843619,0.164258511,11,1169,895,0.765611634,7.063903961,6.796823718,"7",-0.770579137,-0.764940799,-0.502062933,-0.851282696,-0.61008908,-1.608059035,0.630362179,0.555306954,0.401572094,0.532628,0.966716259,0.61008908,-0.561526163,-0.494037768
"Rhine_HLN","Rhine_HLN_12470","Rhine_HLN_12470_2009",2009,7.949629782,49.9745165,2.465110574,0.246511057,10,634,568,0.895899054,6.452048954,6.342121419,"7",-0.770579137,-0.734738248,-0.502062933,0.402234834,-0.336259485,-1.409524804,0.384876146,0.37823941,0.146083337,0.397799,0.794468351,0.336259485,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12470","Rhine_HLN_12470_2012",2012,7.949629782,49.9745165,2.677308087,0.334663511,8,382,258,0.67539267,5.945420609,5.552959585,"7",-0.770579137,-0.734738248,-0.502062933,0.402234834,-0.336259485,-1.409524804,0.384876146,0.37823941,0.242651937,0.448739,0.977728365,0.336259485,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12470","Rhine_HLN_12470_2015",2015,7.949629782,49.9745165,2.294860271,0.286857534,8,474,317,0.668776371,6.161207322,5.758901774,"7",-0.770579137,-0.734738248,-0.502062933,0.402234834,-0.336259485,-1.409524804,0.384876146,0.37823941,0.387297121,0.42108,0.932693425,0.336259485,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12470","Rhine_HLN_12470_2018",2018,7.949629782,49.9745165,3.276595745,0.29787234,11,154,30,0.194805195,5.036952602,3.401197382,"7",-0.770579137,-0.734738248,-0.502062933,0.402234834,-0.336259485,-1.409524804,0.384876146,0.37823941,0.244812063,0.385973,0.899792594,0.336259485,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_12470","Rhine_HLN_12470_2021",2021,7.949629782,49.9745165,2.829757369,0.282975737,10,336,146,0.43452381,5.81711116,4.983606622,"7",-0.770579137,-0.734738248,-0.502062933,0.402234834,-0.336259485,-1.409524804,0.384876146,0.37823941,0.391269292,0.24347,0.842477267,0.336259485,1.421511809,-0.494037768
"Rhine_HLN","Rhine_HLN_15002","Rhine_HLN_15002_2021",2021,7.848715591,48.64723069,2.097841727,0.524460432,4,54,18,0.333333333,3.988984047,2.890371758,"7",0.15806267,-0.738202215,-0.093506809,-0.851282696,0.504706332,1.559232263,-0.833026994,-1.390269761,0.022457297,0.909543,0.787736529,-0.504706332,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-10","DanubeJDS3_1",2013,16.99035,48.16338,6.354593293,0.158864832,40,2837,679,0.239337328,7.950502435,6.520621128,"7",-1.897416868,-0.174844838,-0.093506809,0.402234834,0.955772528,-0.466707905,-0.451782675,-1.314327292,0.566516704,0.437008,0.929886924,-0.955772528,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-13","DanubeJDS3_2",2013,16.90017,48.14268,5.57982827,0.223193131,25,506,92,0.181818182,6.226536669,4.521788577,"7",0.934554592,-0.379881438,-0.502062933,-0.851282696,1.328141385,-1.608059035,-0.738196844,-1.404815573,0.486070913,0.565328,0.931963153,-1.328141385,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-16","DanubeJDS3_3",2013,17.07062,48.14456,4.373158133,0.145771938,30,1674,576,0.344086022,7.422971251,6.356107661,"7",-1.897416868,-0.174844838,-0.093506809,0.402234834,0.895676648,-0.466707905,-1.694224032,0.437134589,0.498416692,0.505664,0.916003683,-0.895676648,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-17","DanubeJDS3_4",2013,17.23445,48.03577,1.848153202,0.077006383,24,3844,838,0.218002081,8.25426877,6.7310181,"canal",-1.897416868,-0.704918007,-0.502062933,-0.851282696,-0.770595891,3.047323001,-0.594781339,-1.382374685,0.453455768,0.485408,0.966426497,0.770595891,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-18","DanubeJDS3_5",2013,17.6528,47.79265,8.042234486,0.277318431,29,707,177,0.250353607,6.561030666,5.176149733,"7",-1.897416868,-0.763098756,-0.502062933,-0.851282696,2.533695153,0.008554765,-0.431010763,-1.426956056,0.470411866,0.511601,0.882328373,-2.533695153,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-2","DanubeJDS3_6",2013,11.84761,48.90599,1.564828228,0.053959594,29,18077,14361,0.794434917,9.802395691,9.572271478,"6",-1.605398118,-0.856377517,0.315049316,-0.851282696,0.785297813,0.151828522,-0.604682138,-1.143513039,0.567912052,0.373802,0.992297016,-0.785297813,-0.561526163,0.346160375
"DanubeJDS3","JDS3-26","DanubeJDS3_7",2013,18.9052,47.79456,6.735797162,0.232268868,29,1849,575,0.310978908,7.522400231,6.354370041,"7",-1.360233779,-0.616716449,-0.502062933,-0.851282696,-0.579775859,-1.608059035,-0.54883549,-1.156442908,0.491059742,0.453014,0.867214758,0.579775859,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-32","DanubeJDS3_8",2013,19.01025,47.38863,4.349557365,0.149984737,29,1854,442,0.238403452,7.525100746,6.091309882,"7",-1.360233779,0.893028813,-0.502062933,0.402234834,0.561264422,-0.907662222,-1.3561116,0.931482043,0.479692985,0.587623,0.882589999,-0.561264422,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-39","DanubeJDS3_9",2013,18.71453,46.03832,10.31363413,0.322301067,32,1678,193,0.115017878,7.425357887,5.262690189,"7",-1.596682223,-0.779999354,-0.502062933,-0.851282696,2.033166833,-1.608059035,-0.289975645,-1.462432494,0.488199752,0.517692,0.812998666,-2.033166833,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-41","DanubeJDS3_10",2013,18.92696,45.54372,3.053207038,0.09541272,32,3148,23,0.007306226,8.05452261,3.135494216,"7",-1.359580864,-0.803172601,-0.502062933,-0.851282696,2.275824538,-0.353673672,-0.654751743,-1.926959513,0.500564476,0.437264,0.889778262,-2.275824538,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-45","DanubeJDS3_11",2013,19.35657,45.23059,2.367094234,0.071730128,33,6018,66,0.010967099,8.702510257,4.189654742,"7",-1.359580864,-0.877230833,-0.502062933,0.402234834,1.109814087,-1.211069423,-0.269862431,-0.75845422,0.48935496,0.433044,0.957297137,-1.109814087,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-47","DanubeJDS3_12",2013,26.06696,43.91083,3.353622702,0.128985489,26,1483,10,0.006743088,7.301822342,2.302585093,"7",0.796986472,-0.452561758,-0.502062933,1.655752364,-0.681839689,-1.133651788,-0.634657383,-1.423455925,0.438463067,0.507806,0.8597573,0.681839689,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-5","DanubeJDS3_13",2013,13.01017,48.77495,1.85998269,0.066427953,28,16180,11200,0.692212608,9.691531191,9.323669057,"6",-1.630405792,-0.876361944,-0.502062933,0.402234834,0.745266498,-1.608059035,-0.060699066,-1.071717591,0.475664432,0.570041,0.997580428,-0.745266498,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-50","DanubeJDS3_14",2013,28.26013,45.4563,6.715357634,0.268614305,25,550,114,0.207272727,6.309918278,4.736198448,"7",-1.913190462,-0.601359575,-0.502062933,0.402234834,2.918958026,0.162940587,-0.677570156,-1.18534885,0.504752043,0.545711,0.889672652,-2.918958026,3.404549781,-0.494037768
"DanubeJDS3","JDS3-52","DanubeJDS3_15",2013,20.57587,44.84919,2.891992941,0.120499706,24,1550,87,0.056129032,7.34601021,4.465908119,"7",-0.694405739,-0.86340103,-0.502062933,1.655752364,0.438687533,-1.055512849,0.194528453,-1.011104147,0.440176678,0.671582,0.862158902,-0.438687533,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-54","DanubeJDS3_16",2013,20.72447,44.68132,2.016143823,0.118596695,17,1971,9,0.00456621,7.586296307,2.197224577,"7",-0.694405739,-0.858549738,-0.502062933,0.402234834,-0.884721445,-0.800513354,0.259716714,-0.510805805,0.426375589,0.526114,0.949379682,0.884721445,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-57","DanubeJDS3_17",2013,21.09757,44.72553,2.286139526,0.060161566,38,5443,566,0.103986772,8.602085658,6.338594078,"7",-0.548391182,-0.858332516,-0.502062933,-0.851282696,0.738847879,-0.68111722,-0.522666083,-1.534979393,0.527599549,0.488105,0.922282838,-0.738847879,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-60","DanubeJDS3_18",2013,21.67333,44.66368,2.610213445,0.096674572,27,3803,512,0.134630555,8.243545508,6.238324625,"7",-0.548391182,-0.889416989,-0.502062933,-0.851282696,-1.033025396,-1.225478281,-0.123328891,-1.412056398,0.454548069,0.46532,0.904859259,1.033025396,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-63","DanubeJDS3_19",2013,22.6453,44.61664,3.419371952,0.097696341,35,7980,1418,0.177694236,8.98469369,7.257002707,"7",-0.548391182,-0.863618252,-0.502062933,0.402234834,-1.060549443,-1.608059035,-0.435524083,0.583878811,0.539912208,0.330944,0.945816602,1.060549443,1.421511809,-0.494037768
"DanubeJDS3","JDS3-65","DanubeJDS3_20",2013,22.67886,44.23211,1.659284629,0.061454986,27,9156,588,0.064220183,9.122164681,6.376726948,"7",-0.548391182,-0.880706385,-0.502062933,0.402234834,-0.494010194,-1.186386371,-0.293488486,-1.187635123,0.447187058,0.462421,0.962652803,0.494010194,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-69","DanubeJDS3_21",2013,23.87793,43.75107,1.653047378,0.057001634,29,3227,260,0.080570189,8.079308192,5.560681631,"7",-1.881487819,-0.892045375,-0.502062933,-0.851282696,0.704131577,-0.829449958,-0.206354734,-1.427007897,0.562912271,0.477543,0.9573254,-0.704131577,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-7","DanubeJDS3_22",2013,13.6478,48.55126,1.759320911,0.065160034,27,3746,473,0.126268019,8.228443883,6.159095388,"7",0.934554592,-0.869628061,-0.502062933,-0.851282696,-0.510715057,-1.608059035,0.080037399,-0.889667415,0.568793562,0.569685,0.979678339,0.510715057,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-72","DanubeJDS3_23",2013,24.53043,43.76998,3.692056103,0.175812195,21,549,37,0.067395264,6.308098442,3.610917913,"canal",-1.533214755,-0.859128996,-0.502062933,-0.851282696,3.046923747,-0.640057549,-0.882267748,-1.28195138,0.47397529,0.511262,0.942117669,-3.046923747,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-75","DanubeJDS3_24",2013,24.82172,43.71606,7.025696314,0.250917726,28,793,160,0.201765448,6.675823222,5.075173815,"7",0.796986472,-0.831324576,-0.502062933,0.402234834,1.910999857,-1.608059035,-0.239842585,-1.480103552,0.501612918,0.490974,0.862165104,-1.910999857,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-77","DanubeJDS3_25",2013,25.32142,43.64931,2.981145677,0.085175591,35,3918,509,0.129913221,8.273336599,6.232448017,"7",0.796986472,-0.883819901,-0.502062933,0.402234834,1.311952113,-1.340951392,-0.628370763,-0.951389436,0.518262873,0.395948,0.917394648,-1.311952113,1.421511809,-0.494037768
"DanubeJDS3","JDS3-82","DanubeJDS3_26",2013,25.99253,43.88781,9.680230345,0.35852705,27,902,301,0.333702882,6.80461452,5.707110265,"7",0.796986472,-0.452561758,-0.502062933,1.655752364,0.640028312,-1.133651788,-1.452487394,0.58112189,0.610947562,0.57324,0.870241301,-0.640028312,3.404549781,-0.494037768
"DanubeJDS3","JDS3-86","DanubeJDS3_27",2013,27.23412,44.11587,1.610607901,0.044739108,36,9967,662,0.066419183,9.207034915,6.495265556,"7",-0.385970844,-0.872017504,-0.502062933,0.402234834,0.687830773,-0.272981555,-0.775835495,-0.549633252,0.525430902,0.513542,0.970162708,-0.687830773,1.421511809,-0.494037768
"DanubeJDS3","JDS3-89","DanubeJDS3_28",2013,28.01017,45.33808,2.633066303,0.071163954,37,10104,841,0.083234363,9.220686664,6.73459166,"7",-1.48084684,-0.59908164,-0.502062933,2.909269894,0.354499738,-1.275419963,-0.714268189,-1.996326126,0.527321877,0.391581,0.921450388,-0.354499738,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-9","DanubeJDS3_29",2013,14.96807,48.20122,1.880960877,0.069665218,27,1589,1139,0.716803021,7.370860167,7.037905963,"7",0.934554592,-0.874406946,-0.502062933,-0.851282696,-0.775876439,-1.608059035,0.758547911,-0.749528329,0.544422989,0.492702,0.970815054,0.775876439,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-91","DanubeJDS3_30",2013,28.20028,45.45772,3.04077927,0.098089654,31,2864,221,0.077164804,7.959974528,5.398162702,"7",-1.939783787,-0.59908164,-0.502062933,2.909269894,-1.063769373,-1.275419963,-0.191894188,-1.013424341,0.571014141,0.392445,0.891985558,1.063769373,1.421511809,-0.494037768
"DanubeJDS3","JDS3-93","DanubeJDS3_31",2013,28.97203,45.33144,5.727976214,0.197516421,29,1194,16,0.013400335,7.085064294,2.772588722,"7",-1.9360943,-0.210101422,-0.502062933,0.402234834,1.85859055,-0.633791504,-0.817352452,-1.754205792,0.537366671,0.474592,0.817470937,-1.85859055,-0.561526163,-0.494037768
"DanubeJDS3","JDS3-95","DanubeJDS3_32",2013,29.18605,45.182819,4.037383865,0.115353825,35,3337,495,0.148336829,8.112827479,6.204557763,"canal",0.945384687,-0.77179705,-0.502062933,-0.851282696,4.297480711,4.198246228,-0.73918601,-1.970384787,0.430607475,0.429907,0.862006805,-4.297480711,-0.561526163,-0.494037768
"Dutch","Dutch_beme","Dutch_7001775_1992",1992,4.6375,51.79217,1.587056702,0.226722386,7,89,88,0.988764045,4.48863637,4.477336814,"canal",0.654091397,3.665649392,-0.502062933,2.909269894,-1.063769373,1.533787789,-2.141556342,1.280675859,0.116830799,0.329595,0.802919215,1.063769373,3.404549781,-0.494037768
"Dutch","Dutch_beme","Dutch_7001776_1992",1992,4.64383,51.7905,1.369863014,0.273972603,5,80,78,0.975,4.382026635,4.356708827,"canal",0.654091397,3.665649392,-0.502062933,2.909269894,-1.063769373,1.533787789,-2.141556342,1.280675859,0.030686173,0.12837,0.753398837,1.063769373,3.404549781,-0.494037768
"Dutch","Dutch_beme","Dutch_7001777_1992",1992,4.68217,51.81767,2.276867031,0.379477838,6,50,48,0.96,3.912023005,3.871201011,"canal",0.654091397,3.665649392,-0.502062933,2.909269894,-1.063769373,1.533787789,-2.141556342,1.280675859,0.095491611,0.397009,0.80449101,1.063769373,5.387587753,-0.494037768
